ykiho,yadmNm,addr,telno,XPos,YPos,clCd,clCdNm,hospUrl,_source_label,coord_ok
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz,중앙내과의원,"서울특별시 송파구 마천로57길 5, 마천빌딩 4층 (마천동)",02-408-3914,127.1519379,37.4945429,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ5MiQyNjE4MzIjNjEjJDEjJDQjJDgz,중앙내과의원,"서울특별시 동작구 서달로 166, 2층 (흑석동, 덕봉빌딩)",02-815-5385,126.9628895,37.5077685,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,중앙성심의원,"서울특별시 강동구  양재대로 1478, (길동)",02-484-4245,127.1402416,37.5376961,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ2MiQyNjEwMDIjNjEjJDEjJDgjJDgz,중앙외과의원,"서울특별시 노원구 동일로192길 20, (공릉동)",977-1001,127.07427,37.6259057,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ3MiQzNjE0ODEjNjEjJDEjJDAjJDgz,중앙외과의원,"서울특별시 도봉구 덕릉로 241, (창동)",02-908-5931,127.0385138,37.6393884,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ5OSQyNjE0ODEjNjEjJDEjJDQjJDgz,중앙의원,"서울특별시 구로구 경인로53길 15, 중앙유통단지 A01-01호 (구로동)",02-2689-5227,126.8746491,37.5009708,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzExIyQxIyQzIyQxMyQyNjE0ODEjNjEjJDEjJDQjJDgz,중앙의원,"서울특별시 성북구 장월로1길 17, 1층 (상월곡동)",02-911-1199,127.0467577,37.607164,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ4OSQzNjE0ODEjNTEjJDEjJDYjJDgz,중앙의원,"서울특별시 노원구 월계로55길 4, 205호 (월계동, 사슴아파트)",02-975-9860,127.0609256,37.631937,31,의원,http://,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjEwMDIjNTEjJDEjJDIjJDgz,중앙정형외과의원,"서울특별시 동대문구 왕산로 42, 2층 (용두동)",02-953-2282,127.0281685,37.5768188,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ3OSQyNjEwMDIjNjEjJDEjJDAjJDgz,중앙정형외과의원,"서울특별시 성북구 길음로 20, 5층 (길음동, 길음뉴타운. 상가동5층)",02-912-2326,127.023066,37.6047272,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ4MiQzNjE4MzIjNDEjJDEjJDQjJDgz,쥬벤스성형외과의원,"서울특별시 강남구 도산대로 421, 청담동JS 빌딩 4,6층 (청담동)",02-517-7555,127.0419809,37.5238957,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ3OSQyNjE0ODEjNTEjJDEjJDYjJDgz,증산의원,"서울특별시 은평구 증산서길 95, (증산동)",02-303-0066,126.9075234,37.5847467,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ4OSQyNjEyMjIjODEjJDEjJDIjJDgz,지내과의원,"서울특별시 송파구 올림픽로35길 124, (신천동, 장미A상가1동 3층 8호,9호  )",02-424-0218,127.1009378,37.5174925,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ5MiQyNjE0ODEjNDEjJDEjJDgjJDgz,지디에스성형외과의원,"서울특별시 서초구 강남대로 439, 유화빌딩 6층 701호 (서초동)",02-573-7515,127.0254021,37.5015461,31,의원,www.gdsprs.com,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ3MiQzNjE4MzIjNjEjJDEjJDQjJDgz,지브이의원,"서울특별시 서초구 강남대로101길 7, 루미에르신사 2,3,4층 (잠원동)",,127.0187627,37.5163736,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,지세븐의원,"서울특별시 강남구 테헤란로 141, 5층 (역삼동)",2051-9078,127.0346851,37.5005479,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ4MiQyNjE0ODEjNTEjJDEjJDYjJDgz,지아인의원,"서울특별시 강남구 도곡로 419, 6층 (대치동)",02-575-2233,127.0563325,37.4976776,31,의원,www.ziain.com/,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQ4OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,지앤산부인과의원,"서울특별시 구로구 시흥대로 559, 부원빌딩 3,4층 (구로동)",02-852-2828,126.9011912,37.4831459,31,의원,http://www.jiaen.co.kr,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,지앤아이휴내과의원,"서울특별시 중구 통일로 10, 연세대학교 세브란스빌딩 1층 C102호 (남대문로5가)",02-2259-0075,126.9736575,37.5570913,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQ2MiQyNjE4MzIjODEjJDEjJDYjJDgz,지앤영피부과의원,"서울특별시 서초구 강남대로 341, 4층 (서초동, 삼원빌딩)",02-3486-2420,127.0293874,37.4932705,31,의원,http://www.gnyoungskin.com,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,지에이치에스의원,"서울특별시 동대문구 왕산로 21, 민족통일대통령빌딩 402호 (신설동)",02-929-3650,127.0258077,37.5768071,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQxMyQzNjE4MzIjNTEjJDEjJDYjJDgz,지에이치의원,"서울특별시 서초구 반포대로 235, 지하1층 (반포동)",02-3481-2300,127.0032572,37.5006686,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzUxIyQxIyQ1IyQ2MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,지엠비뇨기과의원,"서울특별시 마포구 월드컵로14길 5, 3층 (서교동)",02-3143-4110,126.9107241,37.555992,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQzIyQ5MiQzNjEwMDIjNDEjJDEjJDgjJDgz,지우개의원,"서울특별시 강남구 도산대로 108, B1층 (논현동)",,127.0206793,37.5161887,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ4OSQzNjEyMjIjNjEjJDEjJDAjJDgz,지우의원,"서울특별시 강남구 테헤란로 107, 메디타워 14층 (역삼동)",02-565-1201,127.0287678,37.4986924,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDQjJDgz,지의원,"서울특별시 구로구 경인로 176, (오류동, 시티월드)",02-2617-1030,126.8410607,37.4943847,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ5MiQyNjE4MzIjNzEjJDEjJDgjJDgz,지인산부인과의원,"서울특별시 성북구 동소문로 106, 유타몰 6층 (동선동1가)",02-923-8888,127.0170935,37.5925804,31,의원,http://www.huu.kr,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ5OSQzNjE4MzIjODEjJDEjJDIjJDgz,지제이(GJ)성형외과의원,"서울특별시 서초구 강남대로 527, 브랜드칸 타워 5층 (반포동)",02-525-8001,127.0218693,37.5090965,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQ4MiQyNjEyMjIjNjEjJDEjJDQjJDgz,지젤의원,"서울특별시 서초구 서초중앙로24길 16, 7층 (서초동)",02-592-0045,127.0152578,37.4946882,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQwMyQyNjE0ODEjODEjJDEjJDYjJDgz,지타워의원,"서울특별시 구로구 디지털로26길 38, G-Tower B134호 (구로동)",02-6077-3927,126.8953622,37.4798724,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQzIyQwMyQzNjEwMDIjODEjJDEjJDIjJDgz,지파이브(G5)연합의원,"서울특별시 송파구 충민로 52, 가든파이브웍스 3층 S305,S306호 (문정동)",02-2047-1133,127.1225324,37.4776993,31,의원,,서울_피부과,1
